"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Kedrick Brown,,2.0,0.5,0.4,0.1,
Trajan Langdon,93.6,2.0,0.6,0.3,,
Bubbles Hawkins,89.2,1.9,0.6,0.3,0.1,
Felipe LÃ³pez,86.8,1.9,0.5,0.4,0.3,
Treveon Graham,85.2,1.8,0.5,0.4,0.2,
Kevin Williams,82.5,1.9,0.6,0.1,0.1,-0.1
Alexey Shved,81.5,2.2,0.8,0.2,,
Win Wilfong,79.3,2.1,0.6,0.2,-0.3,
Travis Mays,76.3,2.1,0.3,0.0,,
Chink Crossin,75.8,2.1,1.2,0.5,,
Jerry Eaves,75.7,2.0,0.7,0.0,-0.1,
