Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2009-10,23,SAS,NBA,C,2.0,0.0,19.0,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,9.0,0.0,
2010-11,24,DAL,NBA,C,6.0,0.0,33.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,5.0,9.0,0.556,3.0,3.0,6.0,0.0,1.0,0.0,0.0,16.0,11.0,0.0,
2011-12,25,DAL,NBA,C,4.0,0.0,70.0,9.0,14.0,0.643,0.0,0.0,9.0,14.0,0.643,0.643,11.0,13.0,0.846,9.0,9.0,18.0,0.0,3.0,3.0,1.0,13.0,29.0,0.0,
2012-13,26,IND,NBA,C,18.0,0.0,150.0,13.0,29.0,0.448,0.0,0.0,13.0,29.0,0.448,0.448,3.0,10.0,0.3,20.0,22.0,42.0,1.0,0.0,13.0,12.0,28.0,29.0,0.0,
2013-14,27,IND,NBA,C,19.0,0.0,241.0,13.0,27.0,0.481,0.0,0.0,13.0,27.0,0.481,0.481,11.0,18.0,0.611,22.0,23.0,45.0,3.0,5.0,16.0,10.0,38.0,37.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,29,IND,NBA,C,7.0,7.0,172.0,21.0,42.0,0.5,0.0,0.0,21.0,42.0,0.5,0.5,15.0,25.0,0.6,12.0,24.0,36.0,8.0,5.0,6.0,14.0,25.0,57.0,0.0,
2016-17,30,WAS,NBA,C,5.0,0.0,63.0,5.0,9.0,0.556,0.0,0.0,5.0,9.0,0.556,0.556,4.0,11.0,0.364,3.0,8.0,11.0,6.0,1.0,6.0,3.0,17.0,14.0,0.0,
2017-18,31,WAS,NBA,C,6.0,0.0,52.0,10.0,14.0,0.714,0.0,0.0,10.0,14.0,0.714,0.714,10.0,11.0,0.909,4.0,7.0,11.0,1.0,4.0,5.0,1.0,10.0,30.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,67.0,7.0,800.0,77.0,146.0,0.527,0.0,0.0,77.0,146.0,0.527,0.527,62.0,101.0,0.614,73.0,98.0,171.0,19.0,19.0,50.0,43.0,150.0,216.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,9.0,979.0,94.0,179.0,0.527,0.0,0.0,94.0,179.0,0.527,0.527,76.0,124.0,0.614,89.0,120.0,209.0,23.0,23.0,61.0,53.0,184.0,264.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,44.0,7.0,563.0,47.0,98.0,0.48,0.0,0.0,47.0,98.0,0.48,0.48,29.0,53.0,0.547,54.0,69.0,123.0,12.0,10.0,35.0,36.0,91.0,123.0,0.0,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,11.0,0.0,115.0,15.0,23.0,0.652,0.0,0.0,15.0,23.0,0.652,0.652,14.0,22.0,0.636,7.0,15.0,22.0,7.0,5.0,11.0,4.0,27.0,44.0,0.0,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,10.0,0.0,103.0,12.0,19.0,0.632,0.0,0.0,12.0,19.0,0.632,0.632,16.0,22.0,0.727,12.0,12.0,24.0,0.0,4.0,3.0,1.0,29.0,40.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,2.0,0.0,19.0,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,3.0,4.0,0.75,0.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,9.0,0.0,
