"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Khris Middleton,,7.9,6.9,6.7,6.4,6.1,6.1,5.3,3.4,2.7,2.0,1.9,1.6,0.9,,
Derrick McKey,91.7,7.4,7.4,6.6,6.4,6.3,5.7,5.0,4.1,3.9,2.1,1.8,1.6,1.6,1.4,0.4
Danilo Gallinari,90.3,8.2,7.2,6.8,6.3,6.3,6.1,5.6,3.9,3.9,3.7,3.6,1.3,1.2,1.0,
Antonio Davis,89.7,7.4,7.2,6.5,6.1,6.0,5.2,5.0,4.0,3.9,3.8,2.2,2.0,0.3,,
Cazzie Russell,89.4,7.3,7.1,6.6,5.9,5.2,5.2,4.1,3.0,2.2,2.0,1.8,1.1,,,
Armen Gilliam,88.8,7.6,6.8,6.7,6.6,5.3,5.1,4.6,4.5,4.1,2.8,1.5,1.3,1.2,,
Grant Long,88.7,8.4,7.7,6.6,6.5,5.1,5.0,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2
Bill Bridges,88.5,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6,0.2,,
Truck Robinson,88.0,7.6,7.3,6.9,6.5,6.0,5.1,4.3,3.3,3.2,2.7,-0.1,,,,
Tom Sanders,87.3,7.6,7.4,7.2,6.8,5.5,5.4,4.3,4.0,3.0,3.0,2.4,0.0,-0.2,,
Hedo TÃ¼rkoÄlu,87.3,9.0,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1,1.2,0.8,-0.5
