"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
DeShawn Stevenson,,4.1,3.1,2.4,1.8,1.5,1.5,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.6
Winston Garland,83.0,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,,,,,,
John Konchar,80.2,4.2,3.5,2.2,1.7,1.5,0.7,,,,,,,
Fred Carter,77.8,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,,,,,
Trenton Hassell,76.7,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,,,,
Elfrid Payton,76.5,4.4,2.8,2.3,2.2,1.7,1.5,1.0,-0.2,-0.6,,,,
Dudley Bradley,76.1,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,,,,
Devin Brown,75.5,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,,,,,
Marquis Daniels,75.0,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.5,0.1,,,
Whitey Skoog,74.6,4.1,3.6,2.9,1.9,1.0,0.7,,,,,,,
Matisse Thybulle,74.6,3.7,2.8,2.3,2.2,2.1,0.9,,,,,,,
