"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Nikola JokiÄ,,17.0,16.4,15.6,15.2,14.9,11.8,10.7,9.8,9.7,6.7
Bill Russell,92.4,17.3,16.9,15.5,13.8,13.5,13.0,12.9,11.7,11.3,6.2
Shaquille O'Neal,91.9,18.6,16.9,14.9,14.0,13.2,10.4,10.2,9.0,8.0,6.9
Artis Gilmore,88.8,19.8,18.5,16.2,15.1,12.7,12.7,12.3,12.2,11.5,5.6
Dan Issel,86.3,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,9.8,9.3
Hakeem Olajuwon,84.4,15.8,14.3,12.4,11.2,10.9,10.7,10.2,9.8,9.5,8.6
Moses Malone,83.8,15.4,15.1,14.1,13.7,11.9,10.2,9.5,8.7,6.1,1.9
David Robinson,83.6,20.0,18.3,17.5,17.0,15.1,13.9,13.8,13.2,8.4,0.7
Walt Bellamy,83.3,16.3,14.4,13.7,12.1,11.1,10.4,9.5,8.8,6.2,4.9
Ed Macauley,79.1,15.9,14.6,14.5,13.8,10.6,8.9,8.3,7.8,6.3,-0.2
Dwight Howard,77.7,14.4,13.8,13.2,12.9,9.7,8.6,8.0,7.7,7.6,7.3
