"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Elfrid Payton,,4.4,2.8,2.3,2.2,1.7,1.5,1.0,-0.2,-0.6,,,
Bob Hansen,88.8,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,,,
Torrey Craig,84.2,4.0,3.0,2.3,2.2,2.0,1.9,0.9,0.8,,,,
Frank Johnson,83.5,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,,
Avery Bradley,83.1,4.8,3.1,2.5,2.4,1.8,1.5,1.2,0.4,0.3,-0.1,-0.2,-0.5
Dudley Bradley,82.8,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0,,,
Winston Garland,82.2,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,,,,,
John Bagley,82.1,4.6,3.0,2.6,2.6,1.9,1.1,0.9,0.4,0.0,-0.2,-0.3,
Fred Carter,82.0,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,,,,
Trenton Hassell,80.9,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,,,
E'Twaun Moore,80.9,4.4,2.7,1.8,1.7,1.7,0.9,0.8,0.4,0.2,0.2,,
