"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Harry Giles,,1.6,1.0,0.5,0.1
Hilton Armstrong,86.1,1.5,1.2,0.5,-0.1
John Thomas,85.0,1.5,0.9,0.4,0.4
Art Spector,84.7,1.4,1.0,0.6,-0.2
T.J. Leaf,84.2,1.6,0.8,0.3,0.0
Hank Whitney,83.9,1.8,1.1,0.5,
Reggie Slater,83.7,1.5,0.8,0.4,-0.1
Fred Saunders,83.4,1.3,1.2,0.5,0.1
Ante Å½iÅ¾iÄ,83.4,2.0,1.0,0.5,
Darvin Ham,83.0,1.7,0.9,0.9,0.1
Lonny Baxter,81.7,1.5,0.9,0.7,-0.2
