Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2010-11,24,CHI,NBA,C,15.0,0.0,148.0,2.2,4.9,0.462,0.0,0.0,2.2,4.9,0.462,0.462,1.1,3.7,0.3,3.7,7.8,11.6,0.4,0.7,3.0,2.6,7.8,5.6,79.0,101.0,
2011-12,25,CHI,NBA,C,6.0,3.0,128.0,3.0,6.0,0.5,0.0,0.0,3.0,6.0,0.5,0.5,2.6,7.2,0.353,3.4,8.5,11.9,3.4,0.4,4.3,3.4,6.0,8.5,84.0,96.0,
2012-13,26,HOU,NBA,C,6.0,6.0,208.0,5.3,9.5,0.564,0.0,0.0,5.3,9.5,0.564,0.564,7.3,11.4,0.638,5.1,11.2,16.3,0.7,0.7,2.4,2.9,5.3,18.0,117.0,109.0,
2013-14,27,HOU,NBA,C,6.0,4.0,163.0,5.1,10.5,0.485,0.0,0.0,5.1,10.5,0.485,0.485,1.0,1.0,1.0,6.7,8.9,15.6,1.3,1.0,1.3,3.5,9.2,11.1,101.0,113.0,
2014-15,28,NOP,NBA,C,4.0,4.0,79.0,1.3,6.6,0.2,0.0,0.0,1.3,6.6,0.2,0.2,2.6,4.6,0.571,7.9,11.2,19.2,4.0,3.3,0.0,3.3,6.6,5.3,90.0,109.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,37.0,17.0,726.0,3.8,7.9,0.486,0.0,0.0,3.8,7.9,0.486,0.486,3.3,6.1,0.548,5.2,9.6,14.8,1.6,1.0,2.3,3.1,7.0,11.0,100.0,106.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,21.0,3.0,276.0,2.6,5.4,0.481,0.0,0.0,2.6,5.4,0.481,0.481,1.8,5.4,0.333,3.6,8.2,11.7,1.8,0.6,3.6,3.0,7.0,7.0,82.0,98.0,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,12.0,10.0,371.0,5.2,9.9,0.528,0.0,0.0,5.2,9.9,0.528,0.528,4.5,6.9,0.66,5.8,10.2,16.0,1.0,0.8,1.9,3.2,7.0,15.0,111.0,111.0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,4.0,4.0,79.0,1.3,6.6,0.2,0.0,0.0,1.3,6.6,0.2,0.2,2.6,4.6,0.571,7.9,11.2,19.2,4.0,3.3,0.0,3.3,6.6,5.3,90.0,109.0,
