"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Usman Garuba,,1.8,0.5,0.0
Red Morrison,91.6,1.7,0.5,0.0
Duane Ferrell,90.7,1.9,0.4,-0.1
Jim Holstein,88.6,1.8,0.6,0.2
DerMarr Johnson,88.2,1.7,0.4,0.0
Ish Wainright,87.9,1.7,0.6,0.0
Stanislav Medvedenko,87.7,1.8,0.4,0.1
Tellis Frank,86.7,2.0,0.6,0.1
Andrew Nicholson,85.1,1.7,0.6,0.1
Dave Lattin,84.5,2.0,0.6,0.2
Johnny Baum,84.4,2.0,0.4,-0.1
